"","id","group","year","wasi_age","wasi_gender","bryant_percent","empathy_conceptual","empathy_exact","rmet_percent_correct","mep_total","wasi_fsiq2","wasi_fsiq4","wasi_pri","wasi_vci","baseage"
"1","M102","Music","Y1",6.44109589,"m","0.318181818",0.75,0.75,0.392857143,NA,91,91,86,99,6.44109589
"2","M106","Music","Y1",7.21369863,"f","0.636363636",0.75,0.75,0.535714286,NA,97,93,90,98,7.21369863
"3","M107","Music","Y1",7.334246575,"m","0.5",0.5,0,0.25,NA,84,81,80,86,7.334246575
"4","M108","Music","Y1",6.339726027,"f","0.454545455",0.75,0.75,0.464285714,NA,121,112,121,102,6.339726027
"5","M109","Music","Y1",6.189041096,"m","0.409090909",0.75,0.75,0.464285714,NA,94,90,92,98,6.189041096
"6","M112","Music","Y1",6.717808219,"f","0.636363636",0.25,0.25,0.464285714,NA,116,108,109,105,6.717808219
"7","M113","Music","Y1",7.002739726,"m","0.272727273",1,0.5,0.357142857,NA,82,91,100,85,7.002739726
"8","S101","Sport","Y1",7.624657534,"f","0.545454545",0.5,0.5,0.214285714,NA,87,78,84,77,7.624657534
"9","S103","Sport","Y1",6.301369863,"f","0.545454545",0.5,0.25,0.5,NA,102,97,88,105,6.301369863
"10","S104","Sport","Y1",6.843835616,"m","0.5",1,1,0.285714286,NA,85,86,74,102,6.843835616
"11","S105","Sport","Y1",5.961643836,"f","0.454545455",1,0,0.428571429,NA,103,105,110,99,5.961643836
"12","S107","Sport","Y1",5.731506849,"f","0.590909091",0.75,0,0.428571429,NA,93,88,91,89,5.731506849
"13","S108","Sport","Y1",7.282191781,"m","0.909090909",1,0.5,0.785714286,NA,102,105,96,105,7.282191781
"14","S109","Sport","Y1",6.082191781,"m","0.5",0.25,0.25,0.5,NA,72,77,81,77,6.082191781
"15","S110","Sport","Y1",7.02739726,"f","0.454545455",1,0.5,0.464285714,NA,94,88,88,91,7.02739726
"16","S111","Sport","Y1",6.038356164,"m","0.590909091",0.75,0.75,0.571428571,NA,85,87,82,96,6.038356164
"17","S114","Sport","Y1",6.975342466,"f","0.545454545",1,0.25,0.464285714,NA,103,102,107,97,6.975342466
"18","S117","Sport","Y1",6.575342466,"f","0.5",1,0.25,0.535714286,NA,98,96,91,102,6.575342466
"19","C101","Control","Y1",7.512328767,"f","0.636363636",1,0.5,0.678571429,NA,87,88,84,95,7.512328767
"20","C102","Control","Y1",6.6,"f","0.5",1,0.666666667,0.642857143,NA,98,95,95,96,6.6
"21","C107","Control","Y1",7.243835616,"f","0.590909091",0.666666667,0.25,0.714285714,NA,125,121,116,120,7.243835616
"22","C108","Control","Y1",6.38630137,"f","0.545454545",1,1,0.428571429,NA,97,100,91,104,6.38630137
"23","C109","Control","Y1",7.317808219,"m","0.681818182",0.75,0.75,0.571428571,NA,104,94,87,102,7.317808219
"24","C111","Control","Y1",6.619178082,"f","0.636363636",0.25,0.25,0.214285714,NA,94,87,96,80,6.619178082
"25","C112","Control","Y1",7.082191781,"m","0.227272727",1,1,0.464285714,NA,82,81,86,80,7.082191781
"26","C113","Control","Y1",7.049315068,"f","0.590909091",0.5,0.25,0.25,NA,82,89,92,90,7.049315068
"27","C114","Control","Y1",6.290410959,"m","0.545454545",0,0,0.535714286,NA,100,100,93,105,6.290410959
"28","C116","Control","Y1",7.282191781,"m","0.363636364",0.75,0.75,0.285714286,NA,89,86,100,75,7.282191781
"29","C104","Control","Y1",7.542465753,"f","0.454545455",0.25,0,0.571428571,NA,74,78,79,81,7.542465753
"30","M105","Music","Y1",6.219178082,"m","0.545454545",1,1,0.25,NA,93,89,90,91,6.219178082
"31","S112","Sport","Y1",6.389041096,"m","0.772727273",1,1,0.535714286,NA,96,85,83,91,6.389041096
"32","C115","Control","Y1",7.115068493,"m","0.454545455",0.5,0,0.678571429,NA,99,94,92,98,7.115068493
"33","M101","Music","Y1",6.452054795,"m","0.545454545",1,1,0.464285714,NA,92,94,92,99,6.452054795
"34","M104","Music","Y1",6.032876712,"m","0.636363636",0.666666667,0.666666667,0.464285714,NA,103,98,97,99,6.032876712
"35","M110","Music","Y1",6.665753425,"m","0.5",1,1,0.392857143,NA,102,104,111,96,6.665753425
"36","M111","Music","Y1",6.665753425,"f","0.409090909",0.75,0.5,0.285714286,NA,94,101,107,95,6.665753425
"37","S106","Sport","Y1",7.126027397,"m","0.545454545",0.333333333,0.25,0.642857143,NA,88,81,80,87,7.126027397
"38","C106","Control","Y1",6.430136986,"f","0.409090909",0.5,0.5,0.214285714,NA,80,89,96,76,6.430136986
"39","M02","Music","Y1",6.416438356,"m","0.36",1,1,0.642857143,NA,105,96,96,96,6.416438356
"40","M04","Music","Y1",7.183561644,"f","0.27",0.5,0.25,0.75,NA,92,97,98,96,7.183561644
"41","M05","Music","Y1",5.967123288,"f","0.68",0,0,0.607142857,NA,112,113,116,109,5.967123288
"42","M06","Music","Y1",6.169863014,"f","0.73",0.75,0.75,0.5,NA,103,102,120,85,6.169863014
"43","M07","Music","Y1",6.134246575,"m","0.14",0,0,0.714285714,NA,107,105,120,90,6.134246575
"44","M09","Music","Y1",6.824657534,"m","0.64",1,0.25,0.607142857,NA,137,141,134,142,6.824657534
"45","M10","Music","Y1",6.21369863,"m","0.64",0.75,0.25,0.5,NA,95,92,104,83,6.21369863
"46","M12","Music","Y1",6.865753425,"m","0.64",0.25,0.25,0.5,NA,100,103,107,99,6.865753425
"47","M17","Music","Y1",6.742465753,"f","0.64",0.25,0.25,0.821428571,NA,105,104,107,98,6.742465753
"48","S01","Sport","Y1",7.663013699,"f","0.55",0,0,0.678571429,NA,89,95,89,102,7.663013699
"49","S04","Sport","Y1",8.008219178,"m","0.59",0,0,0.892857143,NA,102,94,94,95,8.008219178
"50","S07","Sport","Y1",7.230136986,"f","0.55",0.75,0.5,0.571428571,NA,89,86,86,88,7.230136986
"51","S08","Sport","Y1",6.879452055,"f","0.55",1,0.25,0.428571429,NA,107,111,114,106,6.879452055
"52","S17","Sport","Y1",7.564383562,"m","0.64",0.25,0,0.642857143,NA,115,106,103,107,7.564383562
"53","S28","Sport","Y1",6.635616438,"m","0.55",1,0.5,0.666666667,NA,96,94,94,95,6.635616438
"54","S31","Sport","Y1",5.819178082,"m","0.681818182",1,1,0.392857143,NA,109,107,100,112,5.819178082
"55","C02","Control","Y1",6.808219178,"m","0.59",0.25,0.25,0.607142857,NA,112,105,112,98,6.808219178
"56","C03","Control","Y1",6.676712329,"m","0.59",0,0,0.285714286,NA,81,79,90,74,6.676712329
"57","C04","Control","Y1",6.668493151,"m","0.55",1,0.75,0.321428571,NA,107,98,101,95,6.668493151
"58","C07","Control","Y1",6.449315068,"m","0.41",0.5,0.5,0.464285714,NA,94,94,94,96,6.449315068
"59","C08","Control","Y1",7.794520548,"f","0.32",0.75,0.75,0.392857143,NA,101,100,106,95,7.794520548
"60","C17","Control","Y1",6.876712329,"m","0.41",0.75,0.75,0.333333333,NA,105,100,102,99,6.876712329
"61","C19","Control","Y1",7.797260274,"f","0.55",1,1,0.678571429,NA,101,96,100,92,7.797260274
"62","M01","Music","Y1",5.978082192,"m","0.73",1,0.75,0.392857143,NA,94,108,117,98,5.978082192
"63","M03","Music","Y1",6.769863014,"m","0.36",1,0.75,0.571428571,NA,103,93,95,94,6.769863014
"64","M11","Music","Y1",6.720547945,"f","0.41",0.5,0.5,0.357142857,NA,88,87,92,85,6.720547945
"65","M15","Music","Y1",6.178082192,"m","0.55",0.5,0.5,0.25,NA,100,106,111,100,6.178082192
"66","S05","Sport","Y1",7.783561644,"m","0.55",1,0.5,0.714285714,NA,114,111,117,104,7.783561644
"67","S10","Sport","Y1",7.482191781,"m","0.23",0,0,0.642857143,NA,99,93,96,92,7.482191781
"68","S14","Sport","Y1",6.934246575,"m","0.59",0.75,0.75,0.357142857,NA,103,109,96,119,6.934246575
"69","S22","Sport","Y1",6.821917808,"f","0.55",1,1,0.407407407,NA,98,101,101,101,6.821917808
"70","C01","Control","Y1",7.389041096,"m","0.64",0.75,0.25,0.642857143,NA,87,87,90,87,7.389041096
"71","C05","Control","Y1",6.761643836,"m","0.41",0.5,0.5,0.357142857,NA,107,102,100,103,6.761643836
"72","C06","Control","Y1",7.98630137,"m","0.64",0.25,0,0.5,NA,82,81,79,89,7.98630137
"73","C11","Control","Y1",7.169863014,"m","0.45",0.75,0.5,0.5,NA,87,83,83,87,7.169863014
"74","C12","Control","Y1",7.336986301,"m","0.45",0.75,0.75,0.714285714,NA,87,83,79,90,7.336986301
"75","C18","Control","Y1",7.049315068,"m","0.32",1,0.5,0.464285714,NA,118,113,114,110,7.049315068
"76","M08","Music","Y1",6.852054795,"f","0.82",1,0.25,0.642857143,NA,105,105,113,96,6.852054795
"77","C10","Control","Y1",6.487671233,"f","0.55",0.25,0.25,0.357142857,NA,110,108,100,113,6.487671233
"78","C16","Control","Y1",6.501369863,"m","0.55",1,0.25,0.407407407,NA,105,102,110,92,6.501369863
"79","S15","Sport","Y1",7.263013699,"m","0.59",1,1,0.714285714,NA,89,82,90,78,7.263013699
"80","S21","Sport","Y1",5.978082192,"m","0.55",1,0.75,0.259259259,NA,105,102,94,109,5.978082192
"81","C09","Control","Y1",6.38630137,"f","0.77",1,1,0.571428571,NA,107,100,94,106,6.38630137
"82","S02","Sport","Y1",7.55890411,"m","0.55",1,1,0.571428571,NA,83,85,84,90,7.55890411
"83","S32","Sport","Y1",6.690410959,"f","0.636363636",1,0.75,0.392857143,NA,91,96,100,92,6.690410959
"84","M102","Music","Y2",7.432876712,"m","0.181818182",0,0,0.75,NA,85,86,75,101,6.44109589
"85","M106","Music","Y2",8.202739726,"f","0.590909091",0.833333333,0.666666667,0.75,NA,86,87,84,94,7.21369863
"86","M107","Music","Y2",8.189041096,"m","0.272727273",0.833333333,0.666666667,0.464285714,NA,75,74,73,80,7.334246575
"87","M108","Music","Y2",7.221917808,"f","0.636363636",1,0.833333333,0.642857143,NA,111,110,100,117,6.339726027
"88","M109","Music","Y2",7.128767123,"m","0.363636364",1,0.833333333,0.428571429,NA,101,101,104,98,6.189041096
"89","M112","Music","Y2",7.490410959,"f","0.545454545",1,0.666666667,0.571428571,NA,106,102,99,104,6.717808219
"90","M113","Music","Y2",7.84109589,"m","0.590909091",1,0.833333333,0.464285714,NA,92,94,95,95,7.002739726
"91","S101","Sport","Y2",8.723287671,"f","0.818181818",1,0.666666667,0.535714286,NA,81,81,88,79,7.624657534
"92","S103","Sport","Y2",7.295890411,"f","0.5",1,1,0.785714286,NA,94,94,87,102,6.301369863
"93","S104","Sport","Y2",7.860273973,"m","0.5",1,0.666666667,0.535714286,NA,89,81,69,98,6.843835616
"94","S105","Sport","Y2",6.994520548,"f","0.5",1,1,0.607142857,NA,100,108,100,113,5.961643836
"95","S107","Sport","Y2",6.682191781,"f","0.636363636",1,1,0.678571429,NA,94,93,91,97,5.731506849
"96","S108","Sport","Y2",8.252054795,"m","0.590909091",0.833333333,0.5,0.857142857,NA,105,107,101,110,7.282191781
"97","S109","Sport","Y2",7.079452055,"m","0.636363636",1,1,0.642857143,NA,97,92,83,102,6.082191781
"98","S110","Sport","Y2",8.024657534,"f","0.454545455",0.5,0.5,0.5,NA,98,91,89,95,7.02739726
"99","S111","Sport","Y2",7.065753425,"m","0.772727273",1,0.833333333,0.642857143,NA,91,92,85,102,6.038356164
"100","S114","Sport","Y2",7.953424658,"f","0.590909091",1,0.833333333,0.571428571,NA,94,95,95,97,6.975342466
"101","S117","Sport","Y2",7.421917808,"f","0.409090909",0.666666667,0.5,0.821428571,NA,111,105,101,109,6.575342466
"102","C101","Control","Y2",8.657534247,"f","0.772727273",0.833333333,0.5,0.678571429,NA,86,87,91,86,7.512328767
"103","C102","Control","Y2",7.726027397,"f","0.454545455",0.666666667,0.666666667,0.464285714,NA,87,86,83,94,6.6
"104","C107","Control","Y2",8.197260274,"f","0.636363636",1,1,0.642857143,NA,124,129,123,126,7.243835616
"105","C108","Control","Y2",7.375342466,"f","0.5",0.5,0.5,0.607142857,NA,102,100,96,104,6.38630137
"106","C109","Control","Y2",8.323287671,"m","0.636363636",0.833333333,0.833333333,0.535714286,NA,109,95,98,94,7.317808219
"107","C111","Control","Y2",7.55890411,"f","0.590909091",0.166666667,0,0.5,NA,84,82,87,80,6.619178082
"108","C112","Control","Y2",8.021917808,"m","0.772727273",0.833333333,0.833333333,0.642857143,NA,82,84,90,83,7.082191781
"109","C113","Control","Y2",7.923287671,"f","0.181818182",0.666666667,0.666666667,0.5,NA,80,91,93,91,7.049315068
"110","C114","Control","Y2",7.235616438,"m","0.545454545",0.166666667,0,0.464285714,NA,94,97,90,104,6.290410959
"111","C116","Control","Y2",8.202739726,"m","0.545454545",1,0.833333333,0.535714286,NA,89,95,112,80,7.282191781
"112","C104","Control","Y2",8.57260274,"f","0.5",1,0.833333333,0.642857143,NA,83,78,85,76,7.542465753
"113","M105","Music","Y2",7.024657534,"m","0.272727273",0.5,0.5,0.428571429,NA,77,81,80,86,6.219178082
"114","S112","Sport","Y2",NA,"","0.590909091",1,0.833333333,0.535714286,NA,87,89,91,90,6.389041096
"115","C115","Control","Y2",7.991780822,"m","0.318181818",0.833333333,0.666666667,0.607142857,NA,109,106,105,105,7.115068493
"116","M101","Music","Y2",NA,"","0.409090909",0.5,0.5,NA,NA,102,100,94,105,6.452054795
"117","M104","Music","Y2",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.032876712
"118","M110","Music","Y2",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.665753425
"119","M111","Music","Y2",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.665753425
"120","S106","Sport","Y2",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.126027397
"121","C106","Control","Y2",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.430136986
"122","M02","Music","Y2",7.77260274,"m","0.55",1,1,0.678571429,NA,109,105,102,105,6.416438356
"123","M04","Music","Y2",8.515068493,"f","0.41",1,1,0.607142857,NA,102,98,96,100,7.183561644
"124","M05","Music","Y2",7.232876712,"f","0.59",1,0.666666667,0.642857143,NA,122,114,120,105,5.967123288
"125","M06","Music","Y2",7.520547945,"f","0.73",0.333333333,0.333333333,0.642857143,NA,90,97,98,96,6.169863014
"126","M07","Music","Y2",7.419178082,"m","0.55",0.833333333,0.833333333,0.714285714,NA,99,96,106,84,6.134246575
"127","M09","Music","Y2",8.232876712,"m","0.73",0.833333333,0.833333333,0.714285714,NA,135,122,132,110,6.824657534
"128","M10","Music","Y2",7.545205479,"m","0.55",0.833333333,0.833333333,0.642857143,NA,85,92,96,90,6.21369863
"129","M12","Music","Y2",8.112328767,"m","0.64",0.833333333,0.833333333,0.678571429,NA,102,106,105,106,6.865753425
"130","M17","Music","Y2",8.071232877,"f","0.45",1,0.833333333,0.714285714,NA,102,96,96,97,6.742465753
"131","S01","Sport","Y2",8.767123288,"f","0.32",0.5,0.333333333,0.857142857,NA,87,94,89,101,7.663013699
"132","S04","Sport","Y2",9.046575342,"m","0.36",0,0,0.821428571,NA,109,101,93,109,8.008219178
"133","S07","Sport","Y2",8.320547945,"f","0.68",1,0.833333333,0.714285714,NA,90,82,87,81,7.230136986
"134","S08","Sport","Y2",7.947945205,"f","0.64",1,0.833333333,0.785714286,NA,108,107,106,106,6.879452055
"135","S17","Sport","Y2",8.460273973,"m","0.41",1,0.833333333,0.642857143,NA,105,105,95,113,7.564383562
"136","S28","Sport","Y2",7.463013699,"m","0.64",0.833333333,0.5,0.678571429,NA,108,105,111,98,6.635616438
"137","S31","Sport","Y2",6.608219178,"m","0.5",1,0.833333333,0.571428571,NA,133,128,119,130,5.819178082
"138","C02","Control","Y2",7.810958904,"m","0.59",1,0.5,0.571428571,NA,94,100,100,101,6.808219178
"139","C03","Control","Y2",7.657534247,"m","0.73",0.333333333,0.166666667,0.571428571,NA,94,93,109,79,6.676712329
"140","C04","Control","Y2",7.665753425,"m","0.45",0.833333333,0.833333333,0.392857143,NA,111,108,110,105,6.668493151
"141","C07","Control","Y2",7.460273973,"m","0.41",0.666666667,0.5,0.607142857,NA,101,94,85,104,6.449315068
"142","C08","Control","Y2",8.879452055,"f","0.36",1,0.833333333,0.535714286,NA,95,100,107,91,7.794520548
"143","C17","Control","Y2",7.709589041,"m","0.64",0.833333333,0.5,0.5,NA,94,96,98,95,6.876712329
"144","C19","Control","Y2",8.583561644,"f","0.32",0.833333333,0.666666667,0.714285714,NA,93,90,90,93,7.797260274
"145","M01","Music","Y2",7.334246575,"m","0.41",0.833333333,0.833333333,0.642857143,NA,94,105,105,104,5.978082192
"146","M03","Music","Y2",8.112328767,"m","0.64",1,1,0.785714286,NA,90,94,99,86,6.769863014
"147","M11","Music","Y2",8.046575342,"f","0.55",0.5,0.333333333,0.5,NA,91,88,99,80,6.720547945
"148","M15","Music","Y2",7.328767123,"m","0.83",0.833333333,0.666666667,0.571428571,NA,104,97,95,99,6.178082192
"149","S05","Sport","Y2",8.780821918,"m","0.64",1,1,0.714285714,NA,109,106,105,105,7.783561644
"150","S10","Sport","Y2",8.580821918,"m","0.41",0.333333333,0.333333333,0.5,NA,78,86,79,97,7.482191781
"151","S14","Sport","Y2",7.942465753,"m","0.41",0.666666667,0.666666667,0.571428571,NA,106,105,100,110,6.934246575
"152","S22","Sport","Y2",7.750684932,"f","0.55",1,1,0.464285714,NA,102,92,93,94,6.821917808
"153","C01","Control","Y2",8.42739726,"m","0.68",1,0.5,0.642857143,NA,107,104,104,103,7.389041096
"154","C05","Control","Y2",7.794520548,"m","0.64",0.5,0.5,0.392857143,NA,94,99,90,108,6.761643836
"155","C06","Control","Y2",9.04109589,"m","0.68",1,1,0.607142857,NA,74,77,72,86,7.98630137
"156","C11","Control","Y2",8.128767123,"m","0.32",0.333333333,0.333333333,0.571428571,NA,87,88,93,86,7.169863014
"157","C12","Control","Y2",8.389041096,"m","0.64",0.666666667,0.666666667,0.821428571,NA,79,78,79,80,7.336986301
"158","C18","Control","Y2",7.882191781,"m","0.41",0.666666667,0.5,0.642857143,NA,124,123,120,119,7.049315068
"159","M08","Music","Y2",8.183561644,"f","0.82",0.6,0.6,0.535714286,NA,105,113,113,110,6.852054795
