"","id","group","year","bryant_percent"
"M102.Music.Y1","M102","Music","Y1","0.318181818"
"M106.Music.Y1","M106","Music","Y1","0.636363636"
"M107.Music.Y1","M107","Music","Y1","0.5"
"M108.Music.Y1","M108","Music","Y1","0.454545455"
"M109.Music.Y1","M109","Music","Y1","0.409090909"
"M112.Music.Y1","M112","Music","Y1","0.636363636"
"M113.Music.Y1","M113","Music","Y1","0.272727273"
"S101.Sport.Y1","S101","Sport","Y1","0.545454545"
"S103.Sport.Y1","S103","Sport","Y1","0.545454545"
"S104.Sport.Y1","S104","Sport","Y1","0.5"
"S105.Sport.Y1","S105","Sport","Y1","0.454545455"
"S107.Sport.Y1","S107","Sport","Y1","0.590909091"
"S108.Sport.Y1","S108","Sport","Y1","0.909090909"
"S109.Sport.Y1","S109","Sport","Y1","0.5"
"S110.Sport.Y1","S110","Sport","Y1","0.454545455"
"S111.Sport.Y1","S111","Sport","Y1","0.590909091"
"S114.Sport.Y1","S114","Sport","Y1","0.545454545"
"S117.Sport.Y1","S117","Sport","Y1","0.5"
"C101.Control.Y1","C101","Control","Y1","0.636363636"
"C102.Control.Y1","C102","Control","Y1","0.5"
"C107.Control.Y1","C107","Control","Y1","0.590909091"
"C108.Control.Y1","C108","Control","Y1","0.545454545"
"C109.Control.Y1","C109","Control","Y1","0.681818182"
"C111.Control.Y1","C111","Control","Y1","0.636363636"
"C112.Control.Y1","C112","Control","Y1","0.227272727"
"C113.Control.Y1","C113","Control","Y1","0.590909091"
"C114.Control.Y1","C114","Control","Y1","0.545454545"
"C116.Control.Y1","C116","Control","Y1","0.363636364"
"C104.Control.Y1","C104","Control","Y1","0.454545455"
"M105.Music.Y1","M105","Music","Y1","0.545454545"
"S112.Sport.Y1","S112","Sport","Y1","0.772727273"
"C115.Control.Y1","C115","Control","Y1","0.454545455"
"M101.Music.Y1","M101","Music","Y1","0.545454545"
"M104.Music.Y1","M104","Music","Y1","0.636363636"
"M110.Music.Y1","M110","Music","Y1","0.5"
"M111.Music.Y1","M111","Music","Y1","0.409090909"
"S106.Sport.Y1","S106","Sport","Y1","0.545454545"
"C106.Control.Y1","C106","Control","Y1","0.409090909"
"M02.Music.Y1","M02","Music","Y1","0.36"
"M04.Music.Y1","M04","Music","Y1","0.27"
"M05.Music.Y1","M05","Music","Y1","0.68"
"M06.Music.Y1","M06","Music","Y1","0.73"
"M07.Music.Y1","M07","Music","Y1","0.14"
"M09.Music.Y1","M09","Music","Y1","0.64"
"M10.Music.Y1","M10","Music","Y1","0.64"
"M12.Music.Y1","M12","Music","Y1","0.64"
"M17.Music.Y1","M17","Music","Y1","0.64"
"S01.Sport.Y1","S01","Sport","Y1","0.55"
"S04.Sport.Y1","S04","Sport","Y1","0.59"
"S07.Sport.Y1","S07","Sport","Y1","0.55"
"S08.Sport.Y1","S08","Sport","Y1","0.55"
"S17.Sport.Y1","S17","Sport","Y1","0.64"
"S28.Sport.Y1","S28","Sport","Y1","0.55"
"S31.Sport.Y1","S31","Sport","Y1","0.681818182"
"C02.Control.Y1","C02","Control","Y1","0.59"
"C03.Control.Y1","C03","Control","Y1","0.59"
"C04.Control.Y1","C04","Control","Y1","0.55"
"C07.Control.Y1","C07","Control","Y1","0.41"
"C08.Control.Y1","C08","Control","Y1","0.32"
"C17.Control.Y1","C17","Control","Y1","0.41"
"C19.Control.Y1","C19","Control","Y1","0.55"
"M01.Music.Y1","M01","Music","Y1","0.73"
"M03.Music.Y1","M03","Music","Y1","0.36"
"M11.Music.Y1","M11","Music","Y1","0.41"
"M15.Music.Y1","M15","Music","Y1","0.55"
"S05.Sport.Y1","S05","Sport","Y1","0.55"
"S10.Sport.Y1","S10","Sport","Y1","0.23"
"S14.Sport.Y1","S14","Sport","Y1","0.59"
"S22.Sport.Y1","S22","Sport","Y1","0.55"
"C01.Control.Y1","C01","Control","Y1","0.64"
"C05.Control.Y1","C05","Control","Y1","0.41"
"C06.Control.Y1","C06","Control","Y1","0.64"
"C11.Control.Y1","C11","Control","Y1","0.45"
"C12.Control.Y1","C12","Control","Y1","0.45"
"C18.Control.Y1","C18","Control","Y1","0.32"
"M08.Music.Y1","M08","Music","Y1","0.82"
"C10.Control.Y1","C10","Control","Y1","0.55"
"C16.Control.Y1","C16","Control","Y1","0.55"
"S15.Sport.Y1","S15","Sport","Y1","0.59"
"S21.Sport.Y1","S21","Sport","Y1","0.55"
"C09.Control.Y1","C09","Control","Y1","0.77"
"S02.Sport.Y1","S02","Sport","Y1","0.55"
"S32.Sport.Y1","S32","Sport","Y1","0.636363636"
"M102.Music.Y2","M102","Music","Y2","0.181818182"
"M106.Music.Y2","M106","Music","Y2","0.590909091"
"M107.Music.Y2","M107","Music","Y2","0.272727273"
"M108.Music.Y2","M108","Music","Y2","0.636363636"
"M109.Music.Y2","M109","Music","Y2","0.363636364"
"M112.Music.Y2","M112","Music","Y2","0.545454545"
"M113.Music.Y2","M113","Music","Y2","0.590909091"
"S101.Sport.Y2","S101","Sport","Y2","0.818181818"
"S103.Sport.Y2","S103","Sport","Y2","0.5"
"S104.Sport.Y2","S104","Sport","Y2","0.5"
"S105.Sport.Y2","S105","Sport","Y2","0.5"
"S107.Sport.Y2","S107","Sport","Y2","0.636363636"
"S108.Sport.Y2","S108","Sport","Y2","0.590909091"
"S109.Sport.Y2","S109","Sport","Y2","0.636363636"
"S110.Sport.Y2","S110","Sport","Y2","0.454545455"
"S111.Sport.Y2","S111","Sport","Y2","0.772727273"
"S114.Sport.Y2","S114","Sport","Y2","0.590909091"
"S117.Sport.Y2","S117","Sport","Y2","0.409090909"
"C101.Control.Y2","C101","Control","Y2","0.772727273"
"C102.Control.Y2","C102","Control","Y2","0.454545455"
"C107.Control.Y2","C107","Control","Y2","0.636363636"
"C108.Control.Y2","C108","Control","Y2","0.5"
"C109.Control.Y2","C109","Control","Y2","0.636363636"
"C111.Control.Y2","C111","Control","Y2","0.590909091"
"C112.Control.Y2","C112","Control","Y2","0.772727273"
"C113.Control.Y2","C113","Control","Y2","0.181818182"
"C114.Control.Y2","C114","Control","Y2","0.545454545"
"C116.Control.Y2","C116","Control","Y2","0.545454545"
"C104.Control.Y2","C104","Control","Y2","0.5"
"M105.Music.Y2","M105","Music","Y2","0.272727273"
"S112.Sport.Y2","S112","Sport","Y2","0.590909091"
"C115.Control.Y2","C115","Control","Y2","0.318181818"
"M101.Music.Y2","M101","Music","Y2","0.409090909"
"M104.Music.Y2","M104","Music","Y2",NA
"M110.Music.Y2","M110","Music","Y2",NA
"M111.Music.Y2","M111","Music","Y2",NA
"S106.Sport.Y2","S106","Sport","Y2",NA
"C106.Control.Y2","C106","Control","Y2",NA
"M02.Music.Y2","M02","Music","Y2","0.55"
"M04.Music.Y2","M04","Music","Y2","0.41"
"M05.Music.Y2","M05","Music","Y2","0.59"
"M06.Music.Y2","M06","Music","Y2","0.73"
"M07.Music.Y2","M07","Music","Y2","0.55"
"M09.Music.Y2","M09","Music","Y2","0.73"
"M10.Music.Y2","M10","Music","Y2","0.55"
"M12.Music.Y2","M12","Music","Y2","0.64"
"M17.Music.Y2","M17","Music","Y2","0.45"
"S01.Sport.Y2","S01","Sport","Y2","0.32"
"S04.Sport.Y2","S04","Sport","Y2","0.36"
"S07.Sport.Y2","S07","Sport","Y2","0.68"
"S08.Sport.Y2","S08","Sport","Y2","0.64"
"S17.Sport.Y2","S17","Sport","Y2","0.41"
"S28.Sport.Y2","S28","Sport","Y2","0.64"
"S31.Sport.Y2","S31","Sport","Y2","0.5"
"C02.Control.Y2","C02","Control","Y2","0.59"
"C03.Control.Y2","C03","Control","Y2","0.73"
"C04.Control.Y2","C04","Control","Y2","0.45"
"C07.Control.Y2","C07","Control","Y2","0.41"
"C08.Control.Y2","C08","Control","Y2","0.36"
"C17.Control.Y2","C17","Control","Y2","0.64"
"C19.Control.Y2","C19","Control","Y2","0.32"
"M01.Music.Y2","M01","Music","Y2","0.41"
"M03.Music.Y2","M03","Music","Y2","0.64"
"M11.Music.Y2","M11","Music","Y2","0.55"
"M15.Music.Y2","M15","Music","Y2","0.83"
"S05.Sport.Y2","S05","Sport","Y2","0.64"
"S10.Sport.Y2","S10","Sport","Y2","0.41"
"S14.Sport.Y2","S14","Sport","Y2","0.41"
"S22.Sport.Y2","S22","Sport","Y2","0.55"
"C01.Control.Y2","C01","Control","Y2","0.68"
"C05.Control.Y2","C05","Control","Y2","0.64"
"C06.Control.Y2","C06","Control","Y2","0.68"
"C11.Control.Y2","C11","Control","Y2","0.32"
"C12.Control.Y2","C12","Control","Y2","0.64"
"C18.Control.Y2","C18","Control","Y2","0.41"
"M08.Music.Y2","M08","Music","Y2","0.82"
"C10.Control.Y2","C10","Control","Y2","0.64"
"C16.Control.Y2","C16","Control","Y2","0.5"
"S15.Sport.Y2","S15","Sport","Y2",NA
"S21.Sport.Y2","S21","Sport","Y2",NA
"C09.Control.Y2","C09","Control","Y2",NA
"S02.Sport.Y2","S02","Sport","Y2",NA
"S32.Sport.Y2","S32","Sport","Y2",NA
"M102.Music.Y3","M102","Music","Y3","0.590909091"
"M106.Music.Y3","M106","Music","Y3","0.590909091"
"M107.Music.Y3","M107","Music","Y3","0.545454545"
"M108.Music.Y3","M108","Music","Y3","0.409090909"
"M109.Music.Y3","M109","Music","Y3","0.545454545"
"M112.Music.Y3","M112","Music","Y3","0.454545455"
"M113.Music.Y3","M113","Music","Y3","0.5"
"S101.Sport.Y3","S101","Sport","Y3","0.5"
"S103.Sport.Y3","S103","Sport","Y3","0.636363636"
"S104.Sport.Y3","S104","Sport","Y3","0.545454545"
"S105.Sport.Y3","S105","Sport","Y3","0.363636364"
"S107.Sport.Y3","S107","Sport","Y3","0.727272727"
"S108.Sport.Y3","S108","Sport","Y3","0.590909091"
"S109.Sport.Y3","S109","Sport","Y3","0.409090909"
"S110.Sport.Y3","S110","Sport","Y3","0.454545455"
"S111.Sport.Y3","S111","Sport","Y3","0.636363636"
"S114.Sport.Y3","S114","Sport","Y3","0.636363636"
"S117.Sport.Y3","S117","Sport","Y3","0.818181818"
"C101.Control.Y3","C101","Control","Y3","0.409090909"
"C102.Control.Y3","C102","Control","Y3","0.409090909"
"C107.Control.Y3","C107","Control","Y3","0.727272727"
"C108.Control.Y3","C108","Control","Y3","0.363636364"
"C109.Control.Y3","C109","Control","Y3","0.727272727"
"C111.Control.Y3","C111","Control","Y3","0.363636364"
"C112.Control.Y3","C112","Control","Y3","0.681818182"
"C113.Control.Y3","C113","Control","Y3","0.318181818"
"C114.Control.Y3","C114","Control","Y3","0.5"
"C116.Control.Y3","C116","Control","Y3","0.5"
"C104.Control.Y3","C104","Control","Y3",NA
"M105.Music.Y3","M105","Music","Y3","0.363636364"
"S112.Sport.Y3","S112","Sport","Y3","0.590909091"
"C115.Control.Y3","C115","Control","Y3",NA
"M101.Music.Y3","M101","Music","Y3",NA
"M104.Music.Y3","M104","Music","Y3",NA
"M110.Music.Y3","M110","Music","Y3",NA
"M111.Music.Y3","M111","Music","Y3",NA
"S106.Sport.Y3","S106","Sport","Y3",NA
"C106.Control.Y3","C106","Control","Y3",NA
"M02.Music.Y3","M02","Music","Y3","0.454545455"
"M04.Music.Y3","M04","Music","Y3","0.636363636"
"M05.Music.Y3","M05","Music","Y3","0.590909091"
"M06.Music.Y3","M06","Music","Y3","0.363636364"
"M07.Music.Y3","M07","Music","Y3","0.272727273"
"M09.Music.Y3","M09","Music","Y3","0.772727273"
"M10.Music.Y3","M10","Music","Y3","0.545454545"
"M12.Music.Y3","M12","Music","Y3","0.636363636"
"M17.Music.Y3","M17","Music","Y3","0.590909091"
"S01.Sport.Y3","S01","Sport","Y3","0.363636364"
"S04.Sport.Y3","S04","Sport","Y3","0.409090909"
"S07.Sport.Y3","S07","Sport","Y3","0.681818182"
"S08.Sport.Y3","S08","Sport","Y3","0.681818182"
"S17.Sport.Y3","S17","Sport","Y3","0.409090909"
"S28.Sport.Y3","S28","Sport","Y3","0.727272727"
"S31.Sport.Y3","S31","Sport","Y3","0.454545455"
"C02.Control.Y3","C02","Control","Y3","0.636363636"
"C03.Control.Y3","C03","Control","Y3","0.409090909"
"C04.Control.Y3","C04","Control","Y3","0.636363636"
"C07.Control.Y3","C07","Control","Y3","0.636363636"
"C08.Control.Y3","C08","Control","Y3","0.545454545"
"C17.Control.Y3","C17","Control","Y3","0.727272727"
"C19.Control.Y3","C19","Control","Y3","0.454545455"
"M01.Music.Y3","M01","Music","Y3","0.636363636"
"M03.Music.Y3","M03","Music","Y3","0.545454545"
"M11.Music.Y3","M11","Music","Y3","0.454545455"
"M15.Music.Y3","M15","Music","Y3","0.863636364"
"S05.Sport.Y3","S05","Sport","Y3","0.545454545"
"S10.Sport.Y3","S10","Sport","Y3","0.5"
"S14.Sport.Y3","S14","Sport","Y3","0.318181818"
"S22.Sport.Y3","S22","Sport","Y3","0.636363636"
"C01.Control.Y3","C01","Control","Y3","0.636363636"
"C05.Control.Y3","C05","Control","Y3","0.727272727"
"C06.Control.Y3","C06","Control","Y3","0.590909091"
"C11.Control.Y3","C11","Control","Y3","0.363636364"
"C12.Control.Y3","C12","Control","Y3","0.590909091"
"C18.Control.Y3","C18","Control","Y3","0.272727273"
"M08.Music.Y3","M08","Music","Y3",NA
"C10.Control.Y3","C10","Control","Y3",NA
"C16.Control.Y3","C16","Control","Y3",NA
"S15.Sport.Y3","S15","Sport","Y3",NA
"S21.Sport.Y3","S21","Sport","Y3",NA
"C09.Control.Y3","C09","Control","Y3",NA
"S02.Sport.Y3","S02","Sport","Y3",NA
"S32.Sport.Y3","S32","Sport","Y3",NA
"M102.Music.Y4","M102","Music","Y4","0.5"
"M106.Music.Y4","M106","Music","Y4","0.454545455"
"M107.Music.Y4","M107","Music","Y4","0.454545455"
"M108.Music.Y4","M108","Music","Y4","0.409090909"
"M109.Music.Y4","M109","Music","Y4","0.590909091"
"M112.Music.Y4","M112","Music","Y4","0.772727273"
"M113.Music.Y4","M113","Music","Y4","0.727272727"
"S101.Sport.Y4","S101","Sport","Y4","0.727272727"
"S103.Sport.Y4","S103","Sport","Y4","0.545454545"
"S104.Sport.Y4","S104","Sport","Y4","0.545454545"
"S105.Sport.Y4","S105","Sport","Y4","0.454545455"
"S107.Sport.Y4","S107","Sport","Y4","0.727272727"
"S108.Sport.Y4","S108","Sport","Y4","0.681818182"
"S109.Sport.Y4","S109","Sport","Y4","0.545454545"
"S110.Sport.Y4","S110","Sport","Y4","0.636363636"
"S111.Sport.Y4","S111","Sport","Y4","0.681818182"
"S114.Sport.Y4","S114","Sport","Y4","0.727272727"
"S117.Sport.Y4","S117","Sport","Y4","0.772727273"
"C101.Control.Y4","C101","Control","Y4","0.727272727"
"C102.Control.Y4","C102","Control","Y4","0.454545455"
"C107.Control.Y4","C107","Control","Y4","0.909090909"
"C108.Control.Y4","C108","Control","Y4","0.636363636"
"C109.Control.Y4","C109","Control","Y4","0.727272727"
"C111.Control.Y4","C111","Control","Y4","0.545454545"
"C112.Control.Y4","C112","Control","Y4","0.5"
"C113.Control.Y4","C113","Control","Y4","0.5"
"C114.Control.Y4","C114","Control","Y4","0.318181818"
"C116.Control.Y4","C116","Control","Y4","0.636363636"
"C104.Control.Y4","C104","Control","Y4",NA
"M105.Music.Y4","M105","Music","Y4",NA
"S112.Sport.Y4","S112","Sport","Y4",NA
"C115.Control.Y4","C115","Control","Y4",NA
"M101.Music.Y4","M101","Music","Y4",NA
"M104.Music.Y4","M104","Music","Y4",NA
"M110.Music.Y4","M110","Music","Y4",NA
"M111.Music.Y4","M111","Music","Y4",NA
"S106.Sport.Y4","S106","Sport","Y4",NA
"C106.Control.Y4","C106","Control","Y4",NA
"M02.Music.Y4","M02","Music","Y4","0.272727273"
"M04.Music.Y4","M04","Music","Y4","0.5"
"M05.Music.Y4","M05","Music","Y4","0.363636364"
"M06.Music.Y4","M06","Music","Y4","0.590909091"
"M07.Music.Y4","M07","Music","Y4","0.681818182"
"M09.Music.Y4","M09","Music","Y4","0.681818182"
"M10.Music.Y4","M10","Music","Y4","0.5"
"M12.Music.Y4","M12","Music","Y4","0.772727273"
"M17.Music.Y4","M17","Music","Y4","0.454545455"
"S01.Sport.Y4","S01","Sport","Y4","0.545454545"
"S04.Sport.Y4","S04","Sport","Y4","0.590909091"
"S07.Sport.Y4","S07","Sport","Y4","0.636363636"
"S08.Sport.Y4","S08","Sport","Y4","0.409090909"
"S17.Sport.Y4","S17","Sport","Y4","0.545454545"
"S28.Sport.Y4","S28","Sport","Y4","0.5"
"S31.Sport.Y4","S31","Sport","Y4","0.545454545"
"C02.Control.Y4","C02","Control","Y4","0.681818182"
"C03.Control.Y4","C03","Control","Y4","0.454545455"
"C04.Control.Y4","C04","Control","Y4","0.545454545"
"C07.Control.Y4","C07","Control","Y4","0.772727273"
"C08.Control.Y4","C08","Control","Y4","0.681818182"
"C17.Control.Y4","C17","Control","Y4","0.636363636"
"C19.Control.Y4","C19","Control","Y4","0.454545455"
"M01.Music.Y4","M01","Music","Y4","0.636363636"
"M03.Music.Y4","M03","Music","Y4","0.772727273"
"M11.Music.Y4","M11","Music","Y4","0.454545455"
"M15.Music.Y4","M15","Music","Y4","0.590909091"
"S05.Sport.Y4","S05","Sport","Y4","0.727272727"
"S10.Sport.Y4","S10","Sport","Y4","0"
"S14.Sport.Y4","S14","Sport","Y4","0.454545455"
"S22.Sport.Y4","S22","Sport","Y4","0.727272727"
"C01.Control.Y4","C01","Control","Y4","0.636363636"
"C05.Control.Y4","C05","Control","Y4","0.590909091"
"C06.Control.Y4","C06","Control","Y4","0.363636364"
"C11.Control.Y4","C11","Control","Y4",NA
"C12.Control.Y4","C12","Control","Y4","0.681818182"
"C18.Control.Y4","C18","Control","Y4","0.681818182"
"M08.Music.Y4","M08","Music","Y4",NA
"C10.Control.Y4","C10","Control","Y4",NA
"C16.Control.Y4","C16","Control","Y4",NA
"S15.Sport.Y4","S15","Sport","Y4",NA
"S21.Sport.Y4","S21","Sport","Y4",NA
"C09.Control.Y4","C09","Control","Y4",NA
"S02.Sport.Y4","S02","Sport","Y4",NA
"S32.Sport.Y4","S32","Sport","Y4",NA
"M102.Music.Y5","M102","Music","Y5",".681818182"
"M106.Music.Y5","M106","Music","Y5","NA"
"M107.Music.Y5","M107","Music","Y5",".363636364"
"M108.Music.Y5","M108","Music","Y5",".500000000"
"M109.Music.Y5","M109","Music","Y5",".590909091"
"M112.Music.Y5","M112","Music","Y5","NA"
"M113.Music.Y5","M113","Music","Y5",".727272727"
"S101.Sport.Y5","S101","Sport","Y5",".727272727"
"S103.Sport.Y5","S103","Sport","Y5",".772727273"
"S104.Sport.Y5","S104","Sport","Y5",".363636364"
"S105.Sport.Y5","S105","Sport","Y5",".636363636"
"S107.Sport.Y5","S107","Sport","Y5",".681818182"
"S108.Sport.Y5","S108","Sport","Y5",".681818182"
"S109.Sport.Y5","S109","Sport","Y5",".727272727"
"S110.Sport.Y5","S110","Sport","Y5",".636363636"
"S111.Sport.Y5","S111","Sport","Y5",".590909091"
"S114.Sport.Y5","S114","Sport","Y5",".863636364"
"S117.Sport.Y5","S117","Sport","Y5",".772727273"
"C101.Control.Y5","C101","Control","Y5",".500000000"
"C102.Control.Y5","C102","Control","Y5",".454545454"
"C107.Control.Y5","C107","Control","Y5",".863636364"
"C108.Control.Y5","C108","Control","Y5",".00000000"
"C109.Control.Y5","C109","Control","Y5",".545454546"
"C111.Control.Y5","C111","Control","Y5",".636363636"
"C112.Control.Y5","C112","Control","Y5",".363636364"
"C113.Control.Y5","C113","Control","Y5",".590909091"
"C114.Control.Y5","C114","Control","Y5",".363636364"
"C116.Control.Y5","C116","Control","Y5",".681818182"
"C104.Control.Y5","C104","Control","Y5","NA"
"M105.Music.Y5","M105","Music","Y5","NA"
"S112.Sport.Y5","S112","Sport","Y5","NA"
"C115.Control.Y5","C115","Control","Y5","NA"
"M101.Music.Y5","M101","Music","Y5","NA"
"M104.Music.Y5","M104","Music","Y5","NA"
"M110.Music.Y5","M110","Music","Y5","NA"
"M111.Music.Y5","M111","Music","Y5","NA"
"S106.Sport.Y5","S106","Sport","Y5","NA"
"C106.Control.Y5","C106","Control","Y5","NA"
"M02.Music.Y5","M02","Music","Y5","0.4545455"
"M04.Music.Y5","M04","Music","Y5","0.5909091"
"M05.Music.Y5","M05","Music","Y5","0.5000000"
"M06.Music.Y5","M06","Music","Y5","0.4545455"
"M07.Music.Y5","M07","Music","Y5","0.5909091"
"M09.Music.Y5","M09","Music","Y5","0.6818182"
"M10.Music.Y5","M10","Music","Y5","0.3181818"
"M12.Music.Y5","M12","Music","Y5","0.7272727"
"M17.Music.Y5","M17","Music","Y5","0.5909091"
"S01.Sport.Y5","S01","Sport","Y5","0.5909091"
"S04.Sport.Y5","S04","Sport","Y5","0.3636364"
"S07.Sport.Y5","S07","Sport","Y5","0.8181818"
"S08.Sport.Y5","S08","Sport","Y5","0.7727273"
"S17.Sport.Y5","S17","Sport","Y5","0.5909091"
"S28.Sport.Y5","S28","Sport","Y5","0.6363636"
"S31.Sport.Y5","S31","Sport","Y5","0.5909091"
"C02.Control.Y5","C02","Control","Y5","0.6818182"
"C03.Control.Y5","C03","Control","Y5","0.3636364"
"C04.Control.Y5","C04","Control","Y5","0.5909091"
"C07.Control.Y5","C07","Control","Y5","0.6818182"
"C08.Control.Y5","C08","Control","Y5","0.7272727"
"C17.Control.Y5","C17","Control","Y5","0.6818182"
"C19.Control.Y5","C19","Control","Y5","0.5000000"
"M01.Music.Y5","M01","Music","Y5","0.7272727"
"M03.Music.Y5","M03","Music","Y5","0.8181818"
"M11.Music.Y5","M11","Music","Y5","0.5000000"
"M15.Music.Y5","M15","Music","Y5","0.6363636"
"S05.Sport.Y5","S05","Sport","Y5","0.5909091"
"S10.Sport.Y5","S10","Sport","Y5","0.0000000"
"S14.Sport.Y5","S14","Sport","Y5","0.7272727"
"S22.Sport.Y5","S22","Sport","Y5","0.6818182"
"C01.Control.Y5","C01","Control","Y5","0.5454545"
"C05.Control.Y5","C05","Control","Y5","NA"
"C06.Control.Y5","C06","Control","Y5","0.5000000"
"C11.Control.Y5","C11","Control","Y5","NA"
"C12.Control.Y5","C12","Control","Y5","0.5454545"
"C18.Control.Y5","C18","Control","Y5","0.6818182"
"M08.Music.Y5","M08","Music","Y5","NA"
"C10.Control.Y5","C10","Control","Y5","NA"
"C16.Control.Y5","C16","Control","Y5","NA"
"S15.Sport.Y5","S15","Sport","Y5","NA"
"S21.Sport.Y5","S21","Sport","Y5","NA"
"C09.Control.Y5","C09","Control","Y5","NA"
"S02.Sport.Y5","S02","Sport","Y5","NA"
"S32.Sport.Y5","S32","Sport","Y5","NA"
"M102.Music.Y7","M102","Music","Y7","0.5"
"M106.Music.Y7","M106","Music","Y7",NA
"M107.Music.Y7","M107","Music","Y7",NA
"M108.Music.Y7","M108","Music","Y7","0.590909091"
"M109.Music.Y7","M109","Music","Y7",NA
"M112.Music.Y7","M112","Music","Y7",NA
"M113.Music.Y7","M113","Music","Y7",NA
"S101.Sport.Y7","S101","Sport","Y7",NA
"S103.Sport.Y7","S103","Sport","Y7","0.863636364"
"S104.Sport.Y7","S104","Sport","Y7",NA
"S105.Sport.Y7","S105","Sport","Y7","0.727272727"
"S107.Sport.Y7","S107","Sport","Y7",NA
"S108.Sport.Y7","S108","Sport","Y7","0.545454545"
"S109.Sport.Y7","S109","Sport","Y7",NA
"S110.Sport.Y7","S110","Sport","Y7","0.772727273"
"S111.Sport.Y7","S111","Sport","Y7","0.454545455"
"S114.Sport.Y7","S114","Sport","Y7",NA
"S117.Sport.Y7","S117","Sport","Y7","0.818181818"
"C101.Control.Y7","C101","Control","Y7","0.636363636"
"C102.Control.Y7","C102","Control","Y7","0.863636364"
"C107.Control.Y7","C107","Control","Y7","0.863636364"
"C108.Control.Y7","C108","Control","Y7","0.636363636"
"C109.Control.Y7","C109","Control","Y7",NA
"C111.Control.Y7","C111","Control","Y7","0.727272727"
"C112.Control.Y7","C112","Control","Y7","0.727272727"
"C113.Control.Y7","C113","Control","Y7","0.772727273"
"C114.Control.Y7","C114","Control","Y7",NA
"C116.Control.Y7","C116","Control","Y7",NA
"C104.Control.Y7","C104","Control","Y7",NA
"M105.Music.Y7","M105","Music","Y7",NA
"S112.Sport.Y7","S112","Sport","Y7",NA
"C115.Control.Y7","C115","Control","Y7",NA
"M101.Music.Y7","M101","Music","Y7",NA
"M104.Music.Y7","M104","Music","Y7",NA
"M110.Music.Y7","M110","Music","Y7",NA
"M111.Music.Y7","M111","Music","Y7",NA
"S106.Sport.Y7","S106","Sport","Y7",NA
"C106.Control.Y7","C106","Control","Y7",NA
"M02.Music.Y7","M02","Music","Y7","0.363636364"
"M04.Music.Y7","M04","Music","Y7","0.545454545"
"M05.Music.Y7","M05","Music","Y7","0.545454545"
"M06.Music.Y7","M06","Music","Y7","0.772727273"
"M07.Music.Y7","M07","Music","Y7","0.590909091"
"M09.Music.Y7","M09","Music","Y7","0.636363636"
"M10.Music.Y7","M10","Music","Y7","0.318181818"
"M12.Music.Y7","M12","Music","Y7","0.863636364"
"M17.Music.Y7","M17","Music","Y7","0.863636364"
"S01.Sport.Y7","S01","Sport","Y7","0.545454545"
"S04.Sport.Y7","S04","Sport","Y7","0.545454545"
"S07.Sport.Y7","S07","Sport","Y7","0.727272727"
"S08.Sport.Y7","S08","Sport","Y7","0.681818182"
"S17.Sport.Y7","S17","Sport","Y7","0.590909091"
"S28.Sport.Y7","S28","Sport","Y7","0.727272727"
"S31.Sport.Y7","S31","Sport","Y7","0.636363636"
"C02.Control.Y7","C02","Control","Y7","0.727272727"
"C03.Control.Y7","C03","Control","Y7",NA
"C04.Control.Y7","C04","Control","Y7","0.772727273"
"C07.Control.Y7","C07","Control","Y7","0.818181818"
"C08.Control.Y7","C08","Control","Y7","0.666666667"
"C17.Control.Y7","C17","Control","Y7","0.636363636"
"C19.Control.Y7","C19","Control","Y7","0.681818182"
"M01.Music.Y7","M01","Music","Y7",NA
"M03.Music.Y7","M03","Music","Y7",NA
"M11.Music.Y7","M11","Music","Y7",NA
"M15.Music.Y7","M15","Music","Y7",NA
"S05.Sport.Y7","S05","Sport","Y7",NA
"S10.Sport.Y7","S10","Sport","Y7",NA
"S14.Sport.Y7","S14","Sport","Y7",NA
"S22.Sport.Y7","S22","Sport","Y7",NA
"C01.Control.Y7","C01","Control","Y7",NA
"C05.Control.Y7","C05","Control","Y7",NA
"C06.Control.Y7","C06","Control","Y7",NA
"C11.Control.Y7","C11","Control","Y7",NA
"C12.Control.Y7","C12","Control","Y7",NA
"C18.Control.Y7","C18","Control","Y7",NA
"M08.Music.Y7","M08","Music","Y7",NA
"C10.Control.Y7","C10","Control","Y7",NA
"C16.Control.Y7","C16","Control","Y7",NA
"S15.Sport.Y7","S15","Sport","Y7",NA
"S21.Sport.Y7","S21","Sport","Y7",NA
"C09.Control.Y7","C09","Control","Y7",NA
"S02.Sport.Y7","S02","Sport","Y7",NA
"S32.Sport.Y7","S32","Sport","Y7",NA
